title,technology,description,url
Case Studies in Statistical Thinking,python,Take vital steps towards mastery as you apply your statistical thinking skills to real-world data sets and extract ac...,https://www.datacamp.com//courses/case-studies-in-statistical-thinking
Joining Data in SQL,sql,"Join two or three tables together into one, combine tables using set theory, and work with subqueries in PostgreSQL.",https://www.datacamp.com//courses/joining-data-in-postgresql
Introduction to the Tidyverse,r,"Get started on the path to exploring and visualizing your own data with the tidyverse, a powerful and popular collect...",https://www.datacamp.com//courses/introduction-to-the-tidyverse
Introduction to Shell,shell,"The Unix command line helps users combine existing programs in new ways, automate repetitive tasks, and run programs ...",https://www.datacamp.com//courses/introduction-to-shell
Developing R Packages,r,Create and share your own R Packages!,https://www.datacamp.com//courses/developing-r-packages
Inference for Numerical Data in R,r,In this course you'll learn techniques for performing statistical inference on numerical data.,https://www.datacamp.com//courses/inference-for-numerical-data-in-r
Visualizing Time Series Data in Python,python,"Visualize seasonality, trends and other patterns in your time series data.",https://www.datacamp.com//courses/visualizing-time-series-data-in-python
Data Manipulation with data.table in R,r,"Master core concepts about data manipulation such as filtering, selecting and calculating groupwise statistics using ...",https://www.datacamp.com//courses/data-manipulation-with-datatable-in-r
Fundamentals of Bayesian Data Analysis in R,r,"Learn what Bayesian data analysis is, how it works, and why it is a useful tool to have in your data science toolbox.",https://www.datacamp.com//courses/fundamentals-of-bayesian-data-analysis-in-r
Working with Dates and Times in R,r,"Learn the essentials of parsing, manipulating and computing with dates and times in R.",https://www.datacamp.com//courses/working-with-dates-and-times-in-r
Introduction to Git,git,This course is an introduction to version control with Git for data scientists.,https://www.datacamp.com//courses/introduction-to-git
Python for R Users,python,This course is for R users who want to get up to speed with Python!,https://www.datacamp.com//courses/python-for-r-users
Cluster Analysis in R,r,Develop a strong intuition for how hierarchical and k-means clustering work and learn how to apply them to extract in...,https://www.datacamp.com//courses/cluster-analysis-in-r
Introduction to Financial Concepts in Python,python,"Using Python and NumPy, learn the most fundamental financial concepts.",https://www.datacamp.com//courses/introduction-to-financial-concepts-in-python
Introduction to Portfolio Risk Management in Python,python,"Evaluate portfolio risk and returns, construct market-cap weighted equity portfolios and learn how to forecast and he...",https://www.datacamp.com//courses/introduction-to-portfolio-risk-management-in-python
Inference for Categorical Data in R,r,In this course you'll learn how to leverage statistical techniques for working with categorical data.,https://www.datacamp.com//courses/inference-for-categorical-data-in-r
Conda Essentials,shell,Learn how to easily manage your software using conda.,https://www.datacamp.com//courses/conda-essentials
Interactive Data Visualization with plotly in R,r,Learn to create interactive graphics entirely in R with plotly.,https://www.datacamp.com//courses/interactive-data-visualization-with-plotly-in-r
Visualizing Big Data with Trelliscope,r,Learn how to visualize big data in R using ggplot2 and trelliscopejs.,https://www.datacamp.com//courses/visualizing-big-data-with-trelliscope-in-r
Building Dashboards with flexdashboard,r,In this course you'll learn how to create static and interactive dashboards using flexdashboard and shiny.,https://www.datacamp.com//courses/building-dashboards-with-flexdashboard
Communicating with Data in the Tidyverse,r,Leverage the power of tidyverse tools to create publication-quality graphics and custom-styled reports that communica...,https://www.datacamp.com//courses/communicating-with-data-in-the-tidyverse
Introduction to Linear Modeling in Python,python,"Explore the concepts and applications of linear models with python and build models to describe, predict, and extract...",https://www.datacamp.com//courses/introduction-to-linear-modeling-in-python
Introduction to MongoDB in Python,python,Learn to manipulate and analyze flexibly structured data with MongoDB.,https://www.datacamp.com//courses/introduction-to-using-mongodb-for-data-science-with-python
ChIP-seq Workflows in R,r,Learn how to analyse and interpret ChIP-seq data with the help of Bioconductor using a human cancer dataset.,https://www.datacamp.com//courses/chip-seq-with-bioconductor-in-r
Joining Data with data.table in R,r,This course will show you how to combine and merge datasets with data.table.,https://www.datacamp.com//courses/joining-data-with-datatable-in-r
Foundations of Functional Programming with purrr,r,Learn to easily summarize and manipulate lists using the purrr package.,https://www.datacamp.com//courses/foundations-of-functional-programming-with-purrr
Visualization Best Practices in R,r,"Learn to  effectively convey your data with an overview of common charts, alternative visualization types, and percep...",https://www.datacamp.com//courses/visualization-best-practices-in-r
Building Dashboards with shinydashboard,r,In this course you'll learn to build dashboards using the shinydashboard package.,https://www.datacamp.com//courses/building-dashboards-with-shinydashboard
Modeling with Data in the Tidyverse,r,Explore Linear Regression in a tidy framework.,https://www.datacamp.com//courses/modeling-with-data-in-the-tidyverse
Human Resources Analytics: Exploring Employee Data in R,r,"Manipulate, visualize, and perform statistical tests on HR data.",https://www.datacamp.com//courses/human-resources-analytics-exploring-employee-data-in-r
Business Process Analytics in R,r,Learn how to analyze business processes in R and extract actionable insights from enormous sets of event data.,https://www.datacamp.com//courses/business-process-analytics-in-r
Working with Data in the Tidyverse,r,"Learn to work with data using tools from the tidyverse, and master the important skills of taming and tidying your data.",https://www.datacamp.com//courses/working-with-data-in-the-tidyverse
Supervised Learning in R: Case Studies,r,Apply your supervised machine learning skills by working through four case studies using data from the real world.,https://www.datacamp.com//courses/supervised-learning-in-r-case-studies
Forecasting Product Demand in R,r,"Learn how to identify important drivers of demand, look at seasonal effects, and predict demand for a hierarchy of pr...",https://www.datacamp.com//courses/forecasting-product-demand-in-r
